intensidad_falla,e12,e23,e31,major_axes,minor_axes,ellipse_angles,ellipse_ratio
0.05,0.567227362325206,0.567227362325205,0.597081434026532,1.22474487139159,1.1842719282327,0.272762839497115,1.03417537999004
0.1,0.556021856893694,0.556021856893694,0.617802063215216,1.22474487139159,1.14455231422596,0.284574706411681,1.07006456250963
0.15,0.543600057482418,0.543600057482417,0.63952947939108,1.22474487139159,1.1056672193748,0.297322940017818,1.10769755124342
0.2,0.529812942826018,0.529812942826017,0.662266178532522,1.22474487139159,1.06770782520313,0.311105463326706,1.14707866935281
0.25,0.514495755427527,0.514495755427526,0.685994340570035,1.22474487139159,1.03077640640442,0.326031001322488,1.18817705157201
0.3,0.497468338163091,0.497468338163091,0.710669054518702,1.22474487139159,0.994987437106621,0.342219790620331,1.23091490979333
0.35,0.478536612991002,0.478536612991001,0.73621017383231,1.22474487139159,0.960468635614928,0.359804058604665,1.27515342612667
0.4,0.457495710997814,0.457495710997814,0.762492851663023,1.22474487139159,0.927361849549571,0.37892811932986,1.32067635948843
0.45,0.434135370880122,0.434135370880122,0.789337037963859,1.22474487139159,0.895823643358447,0.39974788231539,1.36717185404932
0.5,0.408248290463863,0.408248290463863,0.816496580927726,1.22474487139159,0.866025403784439,0.422429514791808,1.41421356237309
0.55,0.379642086548638,0.379642086548638,0.843649081219196,1.22474487139159,0.838152730712012,0.447146946554934,1.46124307243045
0.6,0.348155311911396,0.348155311911395,0.870388279778489,1.22474487139159,0.812403840463597,0.474077874977637,1.50755672288882
0.65,0.313677500463755,0.313677500463754,0.896221429896442,1.22474487139159,0.788986691902976,0.503397940042791,1.55230105141266
0.7,0.276172385369497,0.276172385369497,0.920574617898323,1.22474487139159,0.768114574786862,0.535272827239216,1.5944820103582
0.75,0.235702260395516,0.235702260395516,0.942809041582063,1.22474487139159,0.750000000000001,0.569848253244125,1.63299316185545
0.8,0.192450089729875,0.192450089729875,0.962250448649376,1.22474487139159,0.734846922834954,0.607238117251231,1.66666666666666
0.85,0.146734796413356,0.146734796413355,0.978231976089037,1.22474487139159,0.722841614740049,0.64751154889441,1.69434748417471
0.9,0.0990147542976674,0.0990147542976673,0.990147542976674,1.22474487139159,0.714142842854287,0.690680086841872,1.71498585142508
