intensidad_falla,e12,e23,e31,major_axes,minor_axes,ellipse_angles,ellipse_ratio
0,0.577350269189626,0.577350269189625,0.577350269189626,12.2474487139159,12.2474487139159,0,1
0.01,0.57348197979971,0.579274727070414,0.579274727070414,12.2067604219957,12.1249742267767,0.785398163397571,1.00674526755185
0.02,0.569574946351116,0.581198924848077,0.581198924848078,12.1663470277647,12.0024997396376,0.785398163397513,1.01365109699491
0.03,0.565628918983953,0.583122596890673,0.583122596890673,12.1262112797031,11.8800252524984,0.785398163397493,1.0207226855139
0.04,0.561643652641091,0.585045471501136,0.585045471501136,12.0863559437905,11.7575507653593,0.785398163397477,1.02796544833129
0.05,0.557618907339562,0.586967270883749,0.586967270883749,12.0467838031567,11.6350762782201,0.785398163397474,1.03538503015295
0.06,0.553554448447766,0.588887711114644,0.588887711114645,12.0074976577137,11.5126017910809,0.785398163397471,1.04298731734265
0.07,0.549450046968404,0.590806502116563,0.590806502116564,11.9685003237666,11.3901273039418,0.785398163397468,1.05077845088041
0.08,0.54530547982704,0.592723347638087,0.592723347638087,11.9297946336054,11.2676528168026,0.785398163397466,1.058764840164
0.09,0.541120530166174,0.594637945237553,0.594637945237554,11.891383435076,11.1451783296635,0.785398163397464,1.0669531777187
0.1,0.536894987644704,0.596549986271893,0.596549986271894,11.8532695911297,11.0227038425243,0.785398163397462,1.07535045488578
0.11,0.532628648742639,0.598459155890604,0.598459155890605,11.8154559793518,10.9002293553852,0.78539816339746,1.0839639785666
0.12,0.528321317070882,0.600365133035092,0.600365133035093,11.7779454914684,10.777754868246,0.785398163397459,1.09280138910648
0.13,0.523972803685938,0.602267590443607,0.602267590443607,11.7407410328309,10.6552803811068,0.785398163397459,1.10187067940969
0.14,0.51958292740933,0.604166194662011,0.604166194662012,11.7038455218787,10.5328058939677,0.785398163397458,1.11118021538607
0.15,0.515151515151515,0.606060606060606,0.606060606060606,11.667261889578,10.4103314068285,0.785398163397458,1.12073875783868
0.16,0.510678402240088,0.607950478857246,0.607950478857247,11.630993078839,10.2878569196893,0.785398163397456,1.13055548591263
0.17,0.506163432751998,0.609835461146985,0.609835461146986,11.5950420439083,10.1653824325502,0.785398163397456,1.14064002223667
0.18,0.501606459849542,0.611715194938465,0.611715194938466,11.5594117497388,10.042907945411,0.785398163397456,1.15100245990214
0.19,0.497007346119813,0.6135893161973,0.6135893161973,11.5241051713354,9.92043345827187,0.785398163397455,1.16165339143789
0.2,0.492365963917331,0.615457454896663,0.615457454896664,11.4891252930759,9.79795897113287,0.785398163397478,1.17260393995582
0.21,0.487682195709504,0.61731923507532,0.617319235075321,11.4544751080089,9.67548448399369,0.785398163397475,1.18386579265961
0.22,0.482955934424582,0.619174274903309,0.61917427490331,11.4201576171258,9.55300999685452,0.785398163397472,1.19545123692805
0.23,0.478187083801742,0.621022186755508,0.621022186755508,11.3861758286088,9.43053550971537,0.78539816339747,1.20737319920791
0.24,0.473375558742893,0.62286257729328,0.62286257729328,11.3525327570546,9.30806102257617,0.785398163397469,1.21964528697434
0.25,0.468521285665818,0.624695047554424,0.624695047554425,11.3192314226716,9.18558653543703,0.785398163397467,1.23228183404546
0.26,0.463624202858197,0.626519193051617,0.626519193051618,11.2862748504543,9.06311204829787,0.785398163397465,1.24529794956843
0.27,0.45868426083207,0.628334603879548,0.628334603879548,11.2536660693303,8.94063756115873,0.785398163397465,1.25870957102883
0.28,0.453701422678263,0.63014086483092,0.630140864830921,11.2214081112843,8.81816307401952,0.785398163397463,1.27253352167475
0.29,0.448675664420278,0.631937555521517,0.631937555521518,11.1895040104554,8.69568858688036,0.785398163397462,1.28678757279068
0.3,0.443606975367135,0.633724250524477,0.633724250524478,11.1579568022106,8.57321409974121,0.785398163397461,1.3014905113063
0.31,0.438495358464621,0.635500519513943,0.635500519513944,11.1267695221927,8.45073961260207,0.78539816339746,1.31666221328131
0.32,0.433340830644394,0.637265927418227,0.637265927418227,11.0959452053441,8.32826512546288,0.785398163397459,1.33232372387128
0.33,0.428143423170361,0.639020034582627,0.639020034582628,11.0654868849047,8.2057906383237,0.785398163397458,1.34849734445153
0.34,0.422903181981725,0.640762396942007,0.640762396942007,11.0353975913874,8.08331615118456,0.785398163397458,1.36520672765845
0.35,0.417620168032103,0.642492566203235,0.642492566203236,11.0056803515274,7.96084166404542,0.785398163397457,1.38247698120085
0.36,0.412294457624059,0.644210090037591,0.644210090037592,10.9763381872097,7.83836717690624,0.785398163397457,1.40033478140048
0.37,0.406926142738405,0.645914512283182,0.645914512283183,10.9473741143709,7.71589268976706,0.785398163397456,1.41880849754294
0.38,0.401515331357615,0.647605373157443,0.647605373157444,10.91879114188,7.59341820262791,0.785398163397456,1.43792832825951
0.39,0.396062147782645,0.649282209479745,0.649282209479745,10.8905922703955,7.47094371548875,0.785398163397455,1.45772645132062
0.4,0.390566732942472,0.650944554904119,0.65094455490412,10.8627804912001,7.34846922834959,0.785398163397455,1.47823718840554
0.41,0.385029244695646,0.652591940162112,0.652591940162113,10.8353587850148,7.22599474121042,0.785398163397455,1.49949718662538
0.42,0.379449858123116,0.654223893315716,0.654223893315717,10.808330120791,7.10352025407126,0.785398163397455,1.52154561882137
0.43,0.373828765811597,0.655839940020344,0.655839940020345,10.7816974544827,6.9810457669321,0.785398163397454,1.54442440494425
0.44,0.368166178126752,0.657439603797771,0.657439603797771,10.7554637277989,6.85857127979295,0.785398163397454,1.56817845714998
0.45,0.362462323475415,0.659022406318936,0.659022406318937,10.7296318669375,6.73609679265374,0.785398163397454,1.59285595163047
0.46,0.356717448556111,0.6605878676965,0.660587867696501,10.7042047812997,6.61362230551457,0.785398163397453,1.61850863064472
0.47,0.350931818597105,0.66213550678699,0.662135506786991,10.6791853621894,6.49114781837542,0.785398163397453,1.64519213873982
0.48,0.345105717581234,0.663664841502373,0.663664841502374,10.6545764814938,6.36867333123626,0.785398163397453,1.67296639776396
0.49,0.339239448456736,0.665175389130855,0.665175389130855,10.6303809903503,6.2461988440971,0.785398163397453,1.70189602599609
0.5,0.333333333333334,0.666666666666666,0.666666666666667,10.6066017177982,6.12372435695795,0.785398163397452,1.73205080756888
0.51,0.327387713662812,0.668138191148596,0.668138191148597,10.5832414694176,6.00124986981879,0.785398163397453,1.76350621936979
0.52,0.321402950403348,0.669589480006975,0.669589480006976,10.5603030259553,5.87877538267963,0.785398163397452,1.79634402380275
0.53,0.315379424166839,0.671020051418805,0.671020051418806,10.5377891419405,5.75630089554047,0.785398163397452,1.83065293721952
0.54,0.309317535348519,0.672429424670692,0.672429424670693,10.5157025442906,5.63382640840131,0.785398163397452,1.86652938553615
0.55,0.303217704238144,0.673817120529209,0.67381712052921,10.4940459309077,5.51135192126214,0.785398163397452,1.90407836059659
0.56,0.297080371112049,0.675182661618293,0.675182661618294,10.4728219692688,5.388877434123,0.785398163397452,1.94341439331199
0.57,0.290905996305402,0.676525572803261,0.676525572803262,10.4520332950101,5.26640294698384,0.785398163397451,1.9846626625857
0.58,0.284695060264003,0.67784538158096,0.677845381580961,10.4316825105061,5.14392845984468,0.785398163397452,2.02796026265519
0.59,0.278448063574999,0.679141618475606,0.679141618475607,10.4117721834469,5.02145397270552,0.785398163397451,2.07345765589825
