intensidad_falla,e12,e23,e31,major_axes,minor_axes,ellipse_angles,ellipse_ratio
0.05,0.597081434026532,0.567227362325205,0.567227362325206,1.22474487139159,1.1842719282327,2.35619449019232,1.03417537999004
0.1,0.617802063215216,0.556021856893694,0.556021856893694,1.22474487139159,1.14455231422596,2.35619449019233,1.07006456250963
0.15,0.63952947939108,0.543600057482417,0.543600057482418,1.22474487139159,1.1056672193748,2.35619449019234,1.10769755124342
0.2,0.662266178532522,0.529812942826017,0.529812942826018,1.22474487139159,1.06770782520313,2.35619449019234,1.14707866935281
0.25,0.685994340570035,0.514495755427526,0.514495755427527,1.22474487139159,1.03077640640442,2.35619449019234,1.18817705157201
0.3,0.710669054518702,0.497468338163091,0.497468338163091,1.22474487139159,0.99498743710662,2.35619449019234,1.23091490979333
0.35,0.73621017383231,0.478536612991001,0.478536612991002,1.22474487139159,0.960468635614928,2.35619449019234,1.27515342612668
0.4,0.762492851663024,0.457495710997814,0.457495710997814,1.22474487139159,0.927361849549571,2.35619449019234,1.32067635948843
0.45,0.789337037963859,0.434135370880122,0.434135370880122,1.22474487139159,0.895823643358446,2.35619449019234,1.36717185404933
0.5,0.816496580927726,0.408248290463863,0.408248290463863,1.22474487139159,0.866025403784439,2.35619449019234,1.41421356237309
0.55,0.843649081219196,0.379642086548638,0.379642086548638,1.22474487139159,0.838152730712012,2.35619449019234,1.46124307243045
0.6,0.870388279778489,0.348155311911395,0.348155311911396,1.22474487139159,0.812403840463597,2.35619449019234,1.50755672288882
0.65,0.896221429896442,0.313677500463754,0.313677500463755,1.22474487139159,0.788986691902975,2.35619449019234,1.55230105141267
0.7,0.920574617898324,0.276172385369497,0.276172385369497,1.22474487139159,0.768114574786862,2.35619449019234,1.5944820103582
0.75,0.942809041582063,0.235702260395516,0.235702260395516,1.22474487139159,0.75,2.35619449019234,1.63299316185545
0.8,0.962250448649376,0.192450089729875,0.192450089729875,1.22474487139159,0.734846922834953,2.35619449019234,1.66666666666667
0.85,0.978231976089037,0.146734796413355,0.146734796413356,1.22474487139159,0.722841614740048,2.35619449019234,1.69434748417472
0.9,0.990147542976674,0.0990147542976673,0.0990147542976674,1.22474487139159,0.714142842854285,2.35619449019234,1.71498585142509
