intensidad_falla,e12,e23,e31,major_axes,minor_axes,ellipse_angles,ellipse_ratio
0.05,0.586967270883749,0.557618907339561,0.586967270883749,1.20467838031567,1.16350762782201,2.89050373410125,1.03538503015295
0.1,0.596549986271894,0.536894987644704,0.596549986271894,1.18532695911297,1.10227038425243,2.9015036904649,1.07535045488577
0.15,0.606060606060606,0.515151515151515,0.606060606060606,1.1667261889578,1.04103314068285,2.91279380820257,1.12073875783868
0.2,0.615457454896664,0.492365963917331,0.615457454896664,1.14891252930761,0.979795897113272,2.9243734618848,1.17260393995586
0.25,0.624695047554424,0.468521285665818,0.624695047554424,1.13192314226718,0.918558653543692,2.93624057538068,1.23228183404549
0.3,0.633724250524478,0.443606975367134,0.633724250524478,1.11579568022107,0.857321409974113,2.94839147161729,1.30149051130633
0.35,0.642492566203236,0.417620168032103,0.642492566203236,1.10056803515276,0.796084166404533,2.96082072844862,1.38247698120088
0.4,0.650944554904119,0.390566732942471,0.650944554904119,1.08627804912002,0.734846922834954,2.97352104575312,1.47823718840556
0.45,0.659022406318937,0.362462323475415,0.659022406318937,1.07296318669375,0.673609679265374,2.9864831295014,1.59285595163047
0.5,0.666666666666667,0.333333333333333,0.666666666666667,1.06066017177982,0.612372435695795,2.99969559898563,1.73205080756888
0.55,0.673817120529209,0.303217704238144,0.673817120529209,1.04940459309077,0.551135192126215,3.0131449236019,1.90407836059659
0.6,0.680413817439772,0.272165526975908,0.680413817439772,1.03923048454133,0.489897948556637,3.02681539544685,2.12132034355963
0.65,0.68639822305458,0.240239378069103,0.68639822305458,1.03016988890183,0.428660704987056,3.04068914346239,2.4032291201801
0.7,0.691714463866075,0.207514339159822,0.691714463866075,1.02225241501305,0.367423461417475,3.05474619388967,2.78221867234422
0.75,0.696310623822791,0.174077655955698,0.696310623822791,1.01550480057949,0.306186217847898,3.06896458036225,3.31662479035539
0.8,0.700140042014005,0.140028008402801,0.700140042014005,1.00995049383621,0.244948974278319,3.08332050510731,4.12310562561764
0.85,0.70316255393463,0.105474383090194,0.70316255393463,1.00560926805595,0.183711730708736,3.09778855051233,5.47384352744615
0.9,0.705345615858598,0.0705345615858597,0.705345615858598,1.00249688278803,0.122474487139212,3.11234193788184,8.18535277186774
