intensidad_falla,e12,e23,e31,major_axes,minor_axes,ellipse_angles,ellipse_ratio
0.05,0.567227362325206,0.597081434026532,0.567227362325206,1.22474487139159,1.1842719282327,1.29803348729781,1.03417537999004
0.1,0.556021856893694,0.617802063215215,0.556021856893694,1.22474487139159,1.14455231422596,1.28622162038323,1.07006456250963
0.15,0.543600057482418,0.639529479391079,0.543600057482418,1.22474487139159,1.1056672193748,1.27347338677709,1.10769755124343
0.2,0.529812942826018,0.662266178532521,0.529812942826018,1.22474487139159,1.06770782520313,1.2596908634682,1.14707866935281
0.25,0.514495755427527,0.685994340570035,0.514495755427527,1.22474487139159,1.03077640640441,1.24476532547241,1.18817705157201
0.3,0.497468338163091,0.710669054518701,0.497468338163091,1.22474487139159,0.994987437106619,1.22857653617457,1.23091490979333
0.35,0.478536612991002,0.73621017383231,0.478536612991002,1.22474487139159,0.960468635614926,1.21099226819023,1.27515342612668
0.4,0.457495710997814,0.762492851663023,0.457495710997814,1.22474487139159,0.927361849549569,1.19186820746504,1.32067635948844
0.45,0.434135370880122,0.789337037963858,0.434135370880122,1.22474487139159,0.895823643358444,1.17104844447951,1.36717185404933
0.5,0.408248290463863,0.816496580927726,0.408248290463863,1.22474487139159,0.866025403784437,1.14836681200309,1.4142135623731
0.55,0.379642086548638,0.843649081219195,0.379642086548638,1.22474487139159,0.838152730712009,1.12364938023996,1.46124307243045
0.6,0.348155311911396,0.870388279778489,0.348155311911396,1.22474487139159,0.812403840463593,1.09671845181726,1.50755672288883
0.65,0.313677500463755,0.896221429896441,0.313677500463755,1.22474487139159,0.788986691902973,1.0673983867521,1.55230105141267
0.7,0.276172385369497,0.920574617898323,0.276172385369497,1.22474487139159,0.768114574786859,1.03552349955568,1.59448201035821
0.75,0.235702260395516,0.942809041582063,0.235702260395516,1.22474487139159,0.749999999999998,1.00094807355077,1.63299316185546
0.8,0.192450089729875,0.962250448649376,0.192450089729875,1.22474487139159,0.734846922834951,0.963558209543665,1.66666666666667
0.85,0.146734796413356,0.978231976089037,0.146734796413356,1.22474487139159,0.722841614740046,0.923284777900486,1.69434748417472
0.9,0.0990147542976675,0.990147542976674,0.0990147542976675,1.22474487139159,0.714142842854284,0.880116239953025,1.71498585142509
