intensidad_falla,e12,e23,e31,major_axes,minor_axes,ellipse_angles,ellipse_ratio
0.05,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,1.16350762782201,1.83259571459403,1.05263157894737
0.1,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,1.10227038425243,1.83259571459404,1.11111111111111
0.15,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,1.04103314068285,1.83259571459404,1.1764705882353
0.2,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,0.97979589711327,1.83259571459404,1.25
0.25,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,0.918558653543691,1.83259571459404,1.33333333333334
0.3,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,0.857321409974112,1.83259571459404,1.42857142857143
0.35,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,0.796084166404532,1.83259571459405,1.53846153846154
0.4,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,0.734846922834953,1.83259571459405,1.66666666666667
0.45,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,0.673609679265373,1.83259571459405,1.81818181818182
0.5,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,0.612372435695795,1.83259571459405,2
0.55,0.577350269189627,0.577350269189625,0.577350269189626,1.22474487139159,0.551135192126214,1.83259571459405,2.22222222222223
0.6,0.577350269189626,0.577350269189625,0.577350269189626,1.22474487139159,0.489897948556633,1.83259571459404,2.50000000000002
0.65,0.577350269189627,0.577350269189625,0.577350269189626,1.22474487139158,0.42866070498706,1.83259571459405,2.85714285714282
0.7,0.577350269189627,0.577350269189625,0.577350269189626,1.22474487139158,0.36742346141748,1.83259571459405,3.33333333333329
0.75,0.577350269189627,0.577350269189624,0.577350269189626,1.2247448713916,0.306186217847889,1.83259571459404,4.00000000000016
0.8,0.577350269189627,0.577350269189624,0.577350269189626,1.22474487139159,0.244948974278318,1.83259571459404,4.99999999999999
0.85,0.577350269189628,0.577350269189624,0.577350269189626,1.22474487139165,0.183711730708712,1.83259571459404,6.66666666666797
0.9,0.577350269189629,0.577350269189622,0.577350269189626,1.22474487139143,0.122474487139209,1.83259571459405,9.99999999999464
