t,va,vb,vc
968.0689,0.928425982829806,-0.876398246593933,-0.0520277362358732
968.069,0.937396282180818,-0.856663588021705,-0.0807326941591135
968.0691,0.944572521661628,-0.834237839644173,-0.110334682017455
968.0692,0.949954701272236,-0.809121001461338,-0.140833699810898
968.0693,0.95982203055835,-0.794768522499718,-0.165053508058632
968.0694,0.963410150298755,-0.766960594511579,-0.196449555787176
968.0695,0.971483419714666,-0.747225935939351,-0.224257483775315
968.0696,0.97417450951997,-0.720315037886313,-0.253859471633657
968.0697,0.980453719065679,-0.700580379314085,-0.279873339751594
968.0698,0.985835898676286,-0.677257601001452,-0.308578297674834
968.0699,0.98852698848159,-0.64675858320801,-0.341768405273581
968.07,0.996600257897502,-0.626126894700681,-0.370473363196821
968.0701,0.998394317767704,-0.596524906842339,-0.401869410925365
968.0702,1.00467352731341,-0.577687278205212,-0.4269862491082
968.0703,1.00826164705382,-0.552570440022377,-0.455691207031441
968.0704,1.00915867698892,-0.521174392293833,-0.487984284695086
968.0705,1.01274679672932,-0.4978516139812,-0.514895182748124
968.0706,1.01184976679422,-0.464661506382453,-0.547188260411769
968.0707,1.01364382666443,-0.440441698134719,-0.573202128529706
968.0708,1.01095273685912,-0.408148620471074,-0.602804116388048
968.0709,1.00646758718362,-0.374061482937226,-0.632406104246389
968.071,1.00377649737831,-0.344459495078884,-0.659317002299427
968.0711,1.00018837763791,-0.312166417415239,-0.688021960222668
968.0712,0.994806198027299,-0.27718224994629,-0.717623948081009
968.0713,0.991218078286894,-0.250271351893252,-0.740946726393642
968.0714,0.984938868741185,-0.217978274229607,-0.766960594511579
968.0715,0.977762629260375,-0.187479256436164,-0.790283372824211
968.0716,0.969689359844464,-0.157877268577822,-0.811812091266642
968.0717,0.960719060493451,-0.129172310654582,-0.831546749838869
968.0718,0.949954701272236,-0.101364382666443,-0.848590318605793
968.0719,0.937396282180818,-0.0735564546783034,-0.863839827502515
968.072,0.919455683478793,-0.037675257274253,-0.88178042620454
968.0721,0.90330914464697,-0.00807326941591135,-0.895235875231059
968.0722,0.887162605815148,0.0188376286371265,-0.906000234452274
968.0723,0.866530917307819,0.0520277362358732,-0.918558653543692
968.0724,0.842311109060085,0.0879089336399236,-0.930220042700008
968.0725,0.819885360682553,0.120202011303569,-0.940087371986122
968.0726,0.795665552434819,0.153392118902316,-0.949057671337135
968.0727,0.777724953732794,0.174023807409645,-0.951748761142438
968.0728,0.752608115549958,0.207213915008391,-0.95982203055835
968.0729,0.729285337237326,0.236815902866733,-0.966101240104059
968.073,0.700580379314085,0.274491160140986,-0.975071539455071
968.0731,0.674566511196149,0.307681267739733,-0.982247778935881
968.0732,0.648552643078212,0.338180285533176,-0.986732928611388
968.0733,0.61895065521987,0.375855542807429,-0.994806198027299
968.0734,0.592936787101934,0.40545753066577,-0.998394317767704
968.0735,0.566025889048896,0.435956548459213,-1.00198243750811
968.0736,0.540012020930959,0.466455566252656,-1.00646758718362
968.0737,0.514895182748124,0.491572404435491,-1.00646758718362
968.0738,0.485293194889783,0.525659541969339,-1.01095273685912
968.0739,0.459279326771846,0.550776380152175,-1.01005570692402
968.074,0.426089219173099,0.59024569729663,-1.01633491646973
968.0741,0.399178321120061,0.614465505544364,-1.01364382666443
968.0742,0.372267423067024,0.637788283856997,-1.01005570692402
968.0743,0.342665435208682,0.666493241780237,-1.00915867698892
968.0744,0.31306344735034,0.694301169768376,-1.00736461711872
968.0745,0.279873339751594,0.723903157626718,-1.00377649737831
968.0746,0.244889172282644,0.754402175420161,-0.999291347702805
968.0747,0.211699064683898,0.776827923797692,-0.98852698848159
968.0748,0.179405987020252,0.801047732045427,-0.980453719065679
968.0749,0.147112909356607,0.824370510358059,-0.971483419714666
